Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"37 Forest Hills St # 3, Boston, MA 02130","$575,000 ",2 bds,1 ba,"1,048 sqft","$591,259 ",Condo,1900,Forced air,Central,1 space,$247/month,Great solar potentialSun Number™: 94.38,"$2,974 ","$2,123/mo",$403/mo,$201/mo,$247/mo
"492 Beacon St # 13, Boston, MA 02115","$999,000 ",1 bd,1 ba,870 sqft,"$983,416 ",Condo,1890,"Forced air, Heat pump",Central,1 space,$822/month,Great solar potentialSun Number™: 87.98,"$5,768 ","$3,897/mo",$699/mo,$350/mo,$822/mo
"118 Princeton St # 3, East Boston, MA 02128","$449,900 ",2 bds,1 ba,740 sqft,"$440,944 ",Condo,1875,Baseboard,Central,No Data,$168/month,Great solar potentialSun Number™: 93,"$2,308 ","$1,668/mo",$315/mo,$157/mo,$168/mo
"112 Charles St, Boston, MA 02114","$3,250,000 ",4 bds,3 ba,"3,040 sqft","$3,133,529 ",Multi Family,1868,Other,No Data,No Data,"$1,069 ",Great solar potentialSun Number™: 93.01,"$16,091 ","$12,678/mo","$2,275/mo","$1,138/mo",$0/mo
"79 Gainsborough St UNIT 406, Boston, MA 02115","$785,000 ",2 bds,1 ba,789 sqft,"$763,679 ",Condo,1910,Heat pump,Central,On street,$469/month,Great solar potentialSun Number™: 90.38,"$4,192 ","$2,899/mo",$550/mo,$275/mo,$469/mo
"14 Van Winkle St, Boston, MA 02124","$719,000 ",4 bds,2 ba,"2,700 sqft","$707,529 ",Multi Family,1885,Other,No Data,No Data,$266 ,Great solar potentialSun Number™: 73.8,"$3,410 ","$2,655/mo",$503/mo,$252/mo,$0/mo
"45 Burnett St APT 105, Boston, MA","$499,000 ",1 bd,1 ba,740 sqft,"$499,003 ",Condo,2019,Forced air,Central,No Data,$394/month,,"$2,768 ","$1,850/mo",$349/mo,$175/mo,$394/mo
"55 E Springfield St, Boston, MA 02118","$699,000 ",2 bds,1 ba,765 sqft,"$685,147 ",Condo,2019,"Forced air, Wall","Central, Wall","Off street, On street","$8,333/month",Great solar potentialSun Number™: 84.78,"$11,648 ","$2,581/mo",$489/mo,$245/mo,"$8,333/mo"
"32-34 Hancock # 1E, Boston, MA 02114","$635,000 ",1 bd,1 ba,550 sqft,"$635,004 ",Condo,1970,Gas,No Data,No Data,$234/month,,"$3,246 ","$2,345/mo",$445/mo,$222/mo,$234/mo
"24 Mount Ida Rd APT 2, Boston, MA 02122","$499,000 ",2 bds,2 ba,"1,083 sqft","$519,965 ",Condo,1905,"Electric, Gas",Central,No Data,$200/month,,"$2,574 ","$1,850/mo",$349/mo,$175/mo,$200/mo
"65 E India Row Residence # 10H, Boston Waterfront, MA 02110","$799,000 ",1 bd,1 ba,881 sqft,"$796,549 ",Condo,1969,Forced air,Central,Detached Garage,No Data,Great solar potentialSun Number™: 94.38,"$3,789 ","$2,950/mo",$559/mo,$280/mo,$0/mo
"3 Joy St # II, Boston, MA","$2,975,000 ",2 bds,2 ba,"1,483 sqft","$2,887,414 ",Condo,1900,Heat pump,Central,No Data,"$9,999/month",,"$24,728 ","$11,605/mo","$2,083/mo","$1,041/mo","$9,999/mo"
"401 Beacon St # B, Boston, MA 02115","$1,299,000 ",2 bds,1 ba,878 sqft,"$1,252,440 ",Condo,2019,No Data,Central,No Data,$727/month,,"$7,158 ","$5,067/mo",$909/mo,$455/mo,$727/mo
"32 Bayard St # 32, Boston, MA 02134","$899,000 ",4 bds,2 ba,"1,894 sqft","$899,004 ",Condo,1890,No Data,None,Off street,$240/month,,"$4,691 ","$3,507/mo",$629/mo,$315/mo,$240/mo
"5 Malbert Rd # 7, Boston, MA 02135","$1,775,000 ",14 bds,5 ba,"5,820 sqft","$1,751,775 ",Multi Family,1885,Gas,No Data,No Data,$305 ,,"$8,788 ","$6,924/mo","$1,243/mo",$621/mo,$0/mo
"20 Radcliffe Rd APT 105, Boston, MA 02134","$439,000 ",1 bd,1 ba,688 sqft,"$439,001 ",Condo,1945,Baseboard,None,1 space,$287/month,Great solar potentialSun Number™: 86.38,"$2,376 ","$1,628/mo",$307/mo,$154/mo,$287/mo
"345 D St UNIT 10, South Boston, MA 02127","$850,000 ",2 bds,1 ba,949 sqft,"$840,247 ",Condo,2013,Forced air,Central,1 space,$370/month,Great solar potentialSun Number™: 94.86,"$4,401 ","$3,139/mo",$595/mo,$298/mo,$370/mo
"152 Prince St APT 6, Boston, MA 02113","$599,000 ",1 bd,1 ba,718 sqft,"$591,618 ",Condo,1885,Forced air,Central,No Data,$145/month,Great solar potentialSun Number™: 94.38,"$2,986 ","$2,212/mo",$419/mo,$210/mo,$145/mo
"71 W Selden St APT 5, Boston, MA 02126","$259,000 ",3 bds,1 ba,842 sqft,"$259,001 ",Condo,1980,Baseboard,No Data,Attached Garage,$262/month,Great solar potentialSun Number™: 87.02,"$1,494 ",$960/mo,$181/mo,$91/mo,$262/mo
"62 Saint Rose St APT 1, Boston, MA 02130","$809,000 ",2 bds,2 ba,"1,946 sqft","$831,383 ",Condo,1910,Forced air,Central,No Data,$296/month,,"$4,133 ","$2,987/mo",$566/mo,$283/mo,$296/mo
"45 Province St APT 1905, Boston, MA 02108","$1,499,000 ",2 bds,2 ba,"1,291 sqft","$1,456,077 ",Condo,2009,Forced air,Central,1 space,"$1,302/month",Great solar potentialSun Number™: 89.58,"$8,723 ","$5,848/mo","$1,049/mo",$525/mo,"$1,302/mo"
"28-30 Downer Ave # 2, Boston, MA 02125","$619,000 ",2 bds,1 ba,"1,211 sqft","$606,349 ",Condo,1896,Forced air,No Data,1 space,$275/month,Good solar potentialSun Number™: 65.58,"$3,211 ","$2,286/mo",$433/mo,$217/mo,$275/mo
"40 Orkney Rd APT 3, Boston, MA 02135","$575,000 ",2 bds,1 ba,807 sqft,"$569,238 ",Condo,1910,Baseboard,None,1 space,$395/month,Great solar potentialSun Number™: 94.65,"$3,122 ","$2,123/mo",$403/mo,$201/mo,$395/mo
"132 Holton St # 3, Boston, MA 02135","$679,000 ",2 bds,2 ba,"1,039 sqft","$679,006 ",Condo,2019,Forced air,Central,No Data,$260/month,,"$3,480 ","$2,507/mo",$475/mo,$238/mo,$260/mo
"4 Joy St # I, Boston, MA","$4,950,000 ",3 bds,4 ba,"2,754 sqft","$4,684,821 ",Condo,1900,Heat pump,Central,No Data,"$9,999/month",,"$34,506 ","$19,310/mo","$3,465/mo","$1,733/mo","$9,999/mo"
"133 Seaport Blvd # 2208, Boston, MA","$4,629,350 ",3 bds,4 ba,"1,878 sqft","$4,480,861 ",Condo,2019,Forced air,Central,No Data,"$2,725/month",,"$25,645 ","$18,059/mo","$3,241/mo","$1,620/mo","$2,725/mo"
"6 Trescott St # 1, Boston, MA 02125","$494,000 ",2 bds,1 ba,964 sqft,"$485,282 ",Condo,1905,"Other, Radiant",None,1 space,$250/month,Candidate for a community solar programSun Number™: 22.38,"$2,600 ","$1,832/mo",$346/mo,$173/mo,$250/mo
"800 Hyde Park Ave APT 3, Boston, MA 02136","$220,000 ",1 bd,1 ba,730 sqft,"$221,121 ",Condo,1965,Forced air,No Data,1 space,$329/month,Great solar potentialSun Number™: 87.02,"$1,418 ",$858/mo,$154/mo,$77/mo,$329/mo
"250 Meridian St APT 401, East Boston, MA 02128","$765,000 ",2 bds,2 ba,"1,168 sqft","$750,761 ",Condo,2016,"Forced air, Heat pump",Central,1 space,$446/month,Great solar potentialSun Number™: 93.8,"$4,074 ","$2,825/mo",$536/mo,$268/mo,$446/mo
"1688 Washington St APT 3, Boston, MA 02118","$1,095,000 ",2 bds,1 ba,"1,572 sqft","$1,071,195 ",Condo,1910,Forced air,No Data,No Data,$215/month,Great solar potentialSun Number™: 94.38,"$5,636 ","$4,272/mo",$767/mo,$383/mo,$215/mo
"340 W 2nd St # 15, Boston, MA 02127","$787,500 ",2 bds,2 ba,900 sqft,"$785,084 ",Condo,2019,Forced air,Central,No Data,$163/month,,"$3,898 ","$2,908/mo",$551/mo,$276/mo,$163/mo
"235-237 Chestnut Hill Ave, Boston, MA 02135","$2,099,000 ",8 bds,5 ba,"4,531 sqft","$2,099,004 ",Multi Family,1920,Gas,No Data,2 spaces,$463 ,,"$10,392 ","$8,188/mo","$1,469/mo",$735/mo,$0/mo
"85 Saint Botolph St APT 4, Boston, MA 02116","Est. $1,472,156",2 bds,2 ba,"1,550 sqft","$1,989,401 ",Multi Family,1899,Forced air,Other,1 space,,Great solar potentialSun Number™: 90.38,"$7,289 ","$5,743/mo","$1,031/mo",$515/mo,$0/mo
"Twenty One Moon St # TWELVE, Boston, MA 02113","$558,000 ",1 bd,1 ba,562 sqft,"$550,221 ",Condo,1900,Gas,Other,1 space,$282/month,,"$2,937 ","$2,069/mo",$391/mo,$195/mo,$282/mo
"241 Perkins St UNIT C204, Boston, MA 02130","$799,000 ",2 bds,3 ba,"1,740 sqft","$799,006 ",Condo,1982,Heat pump,Central,1 space,"$2,026/month",Limited solar potentialSun Number™: 44.78,"$5,815 ","$2,950/mo",$559/mo,$280/mo,"$2,026/mo"
"42 Brookley Rd # 1, Boston, MA 02130","$499,000 ",2 bds,1 ba,932 sqft,"$499,024 ",Condo,1900,Forced air,Central,1 space,$240/month,Candidate for a community solar programSun Number™: 22.38,"$2,614 ","$1,850/mo",$349/mo,$175/mo,$240/mo
"505 Tremont St UNIT 410, Boston, MA 02116","Est. $1,502,134",2 bds,2.5 ba,"1,418 sqft","$2,029,911 ",Condo,2003,Heat pump,No Data,2 spaces,No Data,Great solar potentialSun Number™: 94.38,"$7,437 ","$5,860/mo","$1,051/mo",$526/mo,$0/mo
"110 Broad St #902, Boston, MA 02110","$1,999,995 ",2 bds,2 ba,"1,394 sqft","$1,916,358 ",Condo,2018,Forced air,Central,1 space,$80/month,,"$9,982 ","$7,802/mo","$1,400/mo",$700/mo,$80/mo
"110 Arlington St # 2, Boston, MA 02116","$1,200,000 ",1 bd,2 ba,"1,220 sqft","$1,200,001 ",Condo,1931,No Data,Central,No Data,$500/month,,"$6,441 ","$4,681/mo",$840/mo,$420/mo,$500/mo
"319 A St UNIT 210, Boston, MA 02210","$575,000 ",Studio,1 ba,462 sqft,"$568,567 ",Condo,2016,Forced air,Central,No Data,$454/month,Great solar potentialSun Number™: 95.18,"$3,181 ","$2,123/mo",$403/mo,$201/mo,$454/mo
"1415 Commonwealth Ave APT 102, Boston, MA 02135","$530,000 ",2 bds,1 ba,720 sqft,"$529,604 ",Condo,1920,"Forced air, Heat pump",Central,1 space,$437/month,Great solar potentialSun Number™: 88.25,"$2,959 ","$1,965/mo",$371/mo,$186/mo,$437/mo
"19 Tappan St # 1, Boston, MA 02131","$519,000 ",2 bds,1 ba,"1,035 sqft","$528,437 ",Condo,1910,Other,None,1 space,$200/month,,"$2,669 ","$1,924/mo",$363/mo,$182/mo,$200/mo
"20 Atherton St, Boston, MA 02119","$879,000 ",4 bds,3 ba,"1,910 sqft",,Multi Family,1950,Other,No Data,1 space,$460 ,Great solar potentialSun Number™: 90.42,"$4,352 ","$3,429/mo",$615/mo,$308/mo,$0/mo
"134 Fulton St APT 2, Boston, MA 02109","$1,375,000 ",2 bds,2 ba,"1,609 sqft","$1,311,715 ",Condo,1899,No Data,No Data,1 space,$587/month,Great solar potentialSun Number™: 93.58,"$7,395 ","$5,364/mo",$963/mo,$481/mo,$587/mo
"274 Beacon St # 2R, Boston, MA 02116","$2,195,000 ",2 bds,2 ba,"1,780 sqft","$2,106,477 ",Condo,1910,Forced air,Central,1 space,"$4,303/month",,"$15,170 ","$8,563/mo","$1,537/mo",$768/mo,"$4,303/mo"
"19 Father Francis Gilday St #101, Boston, MA 02118","$1,169,000 ",2 bds,2 ba,"1,223 sqft","$1,148,143 ",Condo,1868,Forced air,Central,No Data,$606/month,Great solar potentialSun Number™: 94.38,"$6,394 ","$4,560/mo",$818/mo,$409/mo,$606/mo
"18-20 Sparrow St, Boston, MA 02132","$779,000 ",5 bds,2 ba,"2,392 sqft","$762,339 ",Multi Family,1950,Baseboard,No Data,Attached Garage,$326 ,,"$3,695 ","$2,877/mo",$545/mo,$273/mo,$0/mo
"99 Lake Shore Rd APT 3, Boston, MA 02135","$526,000 ",3 bds,2 ba,"1,057 sqft","$525,264 ",Condo,1963,Forced air,Central,2 spaces,$542/month,Great solar potentialSun Number™: 83.45,"$3,045 ","$1,950/mo",$368/mo,$184/mo,$542/mo
"220 Commercial St # 1R, Boston, MA 02109","$949,000 ",1 bd,1 ba,"1,495 sqft",,Condo,1910,Forced air,Central,No Data,No Data,Great solar potentialSun Number™: 94.38,"$4,698 ","$3,702/mo",$664/mo,$332/mo,$0/mo
"276 Marlborough St APT 2, Boston, MA 02116","$2,699,000 ",4 bds,3 ba,"2,605 sqft","$2,533,311 ",Condo,1939,Baseboard,None,No Data,"$1,100/month",Great solar potentialSun Number™: 91.98,"$14,463 ","$10,529/mo","$1,889/mo",$945/mo,"$1,100/mo"
"624 Hyde Park Ave APT A2, Boston, MA 02131","$224,900 ",2 bds,1 ba,708 sqft,"$224,908 ",Condo,1963,Baseboard,Wall,1 space,$493/month,Great solar potentialSun Number™: 88.98,"$1,606 ",$877/mo,$157/mo,$79/mo,$493/mo
"141 Dorchester Ave PH A, Boston, MA 02127","$2,695,000 ",3 bds,3 ba,"2,025 sqft","$2,607,673 ",Condo,2006,Forced air,Central,No Data,"$1,769/month",,"$15,112 ","$10,513/mo","$1,887/mo",$943/mo,"$1,769/mo"
"647 Boylston St APT 3C, Boston, MA 02116","$4,495,000 ",3 bds,3 ba,"2,900 sqft","$4,245,277 ",Condo,2017,Forced air,Central,No Data,$999/month,Great solar potentialSun Number™: 95.18,"$23,253 ","$17,535/mo","$3,147/mo","$1,573/mo",$999/mo
"2855 Washington St UNIT 6, Boston, MA 02119","$499,000 ",3 bds,3 ba,"1,545 sqft",,Condo,1930,Forced air,Central,No Data,$365/month,,"$2,739 ","$1,850/mo",$349/mo,$175/mo,$365/mo
"1789 Centre St UNIT 406, Boston, MA 02132","$679,000 ",2 bds,2 ba,"1,145 sqft",,Condo,2019,No Data,No Data,No Data,$526/month,,"$3,746 ","$2,507/mo",$475/mo,$238/mo,$526/mo
"23 Greenock St, Boston, MA 02124","$799,000 ",6 bds,3 ba,"3,087 sqft","$749,624 ",Multi Family,1905,Other,No Data,No Data,$259 ,Candidate for a community solar programSun Number™: 21.8,"$3,789 ","$2,950/mo",$559/mo,$280/mo,$0/mo
"437 D St APT 5C, Boston, MA 02210","$1,295,000 ",2 bds,2 ba,"1,401 sqft","$1,214,398 ",Condo,1920,"Forced air, Heat pump",Central,1 space,$411/month,Great solar potentialSun Number™: 94.38,"$6,822 ","$5,052/mo",$907/mo,$453/mo,$411/mo
"355 Congress St # 502, Boston, MA 02210","$999,000 ",1 bd,1 ba,838 sqft,,Condo,1890,Forced air,Central,No Data,$170/month,,"$5,116 ","$3,897/mo",$699/mo,$350/mo,$170/mo
"9-11 Boynton St # 1, Boston, MA 02130","$759,000 ",2 bds,3 ba,"1,530 sqft",,Condo,1905,Forced air,Central,1 space,$341/month,,"$3,941 ","$2,803/mo",$531/mo,$266/mo,$341/mo
"20 Rowes Wharf APT 707, Boston, MA 02110","$2,100,000 ",2 bds,2 ba,"1,188 sqft","$1,717,091 ",Condo,1987,Baseboard,Central,1 space,"$2,126/month",Great solar potentialSun Number™: 94.38,"$12,523 ","$8,192/mo","$1,470/mo",$735/mo,"$2,126/mo"
"400 Stuart St # 20E, Boston, MA 02116","$4,132,000 ",3 bds,4 ba,"1,878 sqft","$4,566,240 ",Condo,2009,Heat pump,Central,1 space,"$2,136/month",Great solar potentialSun Number™: 94.38,"$22,593 ","$16,119/mo","$2,892/mo","$1,446/mo","$2,136/mo"
"33 Northern Ave # 0, Boston, MA 02210","$3,595,000 ",3 bds,3 ba,"1,811 sqft","$1,244,782 ",Condo,2019,Forced air,Other,2 spaces,"$3,255/month",,"$21,054 ","$14,024/mo","$2,517/mo","$1,258/mo","$3,255/mo"
"283 Chelsea St, East Boston, MA 02128","$859,000 ",7 bds,3 ba,"2,838 sqft","$832,880 ",Multi Family,1900,Other,No Data,No Data,$303 ,Great solar potentialSun Number™: 93.8,"$4,074 ","$3,172/mo",$601/mo,$301/mo,$0/mo
"580 Washington St # U1002, Boston, MA 02111","$1,849,000 ",3 bds,2 ba,"1,710 sqft","$1,789,692 ",Condo,2013,"Forced air, Heat pump",Central,No Data,"$1,974/month",,"$11,128 ","$7,213/mo","$1,294/mo",$647/mo,"$1,974/mo"
"396 Meridian St APT 1, East Boston, MA 02128","$499,000 ",1 bd,2 ba,"1,200 sqft","$485,138 ",Condo,1910,Baseboard,No Data,No Data,$350/month,Great solar potentialSun Number™: 86.6,"$2,724 ","$1,850/mo",$349/mo,$175/mo,$350/mo
"40 Traveler St APT 409, Boston, MA 02118","$1,595,000 ",2 bds,2 ba,"1,181 sqft","$1,583,364 ",Condo,2018,Forced air,Central,1 space,$88/month,,"$7,985 ","$6,222/mo","$1,117/mo",$558/mo,$88/mo
"23 Robey St # 23, Boston, MA 02119","$789,000 ",3 bds,4 ba,"1,583 sqft","$777,255 ",Condo,2017,Forced air,Central,No Data,$190/month,,"$3,932 ","$2,914/mo",$552/mo,$276/mo,$190/mo
"38 Hancock St APT 1, Boston, MA 02114","$779,000 ",1 bd,1 ba,897 sqft,"$762,929 ",Condo,1890,"Forced air, Heat pump",Other,No Data,$264/month,Great solar potentialSun Number™: 94.61,"$3,959 ","$2,877/mo",$545/mo,$273/mo,$264/mo
"6 Trescott St APT 1, Dorchester, MA 02125","$494,000 ",2 bds,1 ba,964 sqft,"$483,325 ",Condo,1905,Radiant,No Data,No Data,No Data,Candidate for a community solar programSun Number™: 22.38,"$2,350 ","$1,832/mo",$346/mo,$173/mo,$0/mo
"85 E India Row APT 9A, Boston, MA 02110","$599,000 ",1 bd,1 ba,758 sqft,"$579,878 ",Condo,1972,Baseboard,Central,No Data,$724/month,Great solar potentialSun Number™: 79.98,"$3,565 ","$2,212/mo",$419/mo,$210/mo,$724/mo
"111 Perkins St APT 261, Boston, MA 02130","$419,000 ",1 bd,1 ba,845 sqft,"$427,857 ",Condo,1963,No Data,Central,No Data,No Data,,"$1,993 ","$1,554/mo",$293/mo,$147/mo,$0/mo
"96 Redlands Rd APT 2, Boston, MA 02132","$519,000 ",2 bds,2 ba,"1,049 sqft","$520,209 ",Condo,1920,Forced air,Central,No Data,$185/month,,"$2,654 ","$1,924/mo",$363/mo,$182/mo,$185/mo
"4-4A Eric Rd, Boston, MA 02134","$1,149,999 ",5 bds,2 ba,"2,104 sqft","$1,126,960 ",Multi Family,1927,Gas,No Data,5 spaces,$547 ,,"$5,694 ","$4,486/mo",$805/mo,$402/mo,$0/mo
"49 South St APT 8, Boston, MA 02130","Est. $280,020",2 bds,1 ba,670 sqft,"$378,406 ",Condo,1960,Other,No Data,1 space,$250/month,Candidate for a community solar programSun Number™: 22.38,"$1,582 ","$1,038/mo",$196/mo,$98/mo,$250/mo
"157 Beacon St APT 2, Boston, MA 02116","$2,495,000 ",2 bds,2 ba,"2,050 sqft","$2,372,537 ",Condo,1910,Forced air,Central,1 space,$750/month,Great solar potentialSun Number™: 92.78,"$13,103 ","$9,733/mo","$1,747/mo",$873/mo,$750/mo
"527 E Broadway # 5, Boston, MA 02127","$1,850,000 ",3 bds,2 ba,"1,894 sqft","$1,769,195 ",Condo,2019,Forced air,Central,No Data,$400/month,,"$9,559 ","$7,217/mo","$1,295/mo",$648/mo,$400/mo
"150 Lincoln St APT 5B, Boston, MA 02111","$945,000 ",1 bd,1 ba,"1,250 sqft","$930,933 ",Condo,1900,Baseboard,Central,No Data,$594/month,Great solar potentialSun Number™: 94.38,"$5,273 ","$3,686/mo",$662/mo,$331/mo,$594/mo
"11 Springer St # 2, Boston, MA 02127","$848,999 ",2 bds,2 ba,"1,235 sqft","$830,255 ",Condo,2019,Forced air,Central,None,$230/month,,"$4,257 ","$3,135/mo",$594/mo,$297/mo,$230/mo
"239 Lexington St # 2, East Boston, MA","$799,900 ",3 bds,2 ba,"1,400 sqft","$796,469 ",Condo,2019,Forced air,Central,On street,No Data,,"$3,794 ","$2,954/mo",$560/mo,$280/mo,$0/mo
"30 Mozart St APT 3, Boston, MA 02130","$750,000 ",3 bds,2 ba,"1,200 sqft","$699,193 ",Condo,2019,Forced air,Central,No Data,$200/month,,"$3,757 ","$2,770/mo",$525/mo,$263/mo,$200/mo
"1015 South St, Boston, MA 02131","$1,199,000 ",7 bds,3 ba,"2,880 sqft","$1,183,013 ",Multi Family,1910,Forced air,No Data,No Data,$416 ,Great solar potentialSun Number™: 82.58,"$5,936 ","$4,677/mo",$839/mo,$420/mo,$0/mo
"145 Stoughton St # 3, Boston, MA 02125","$649,000 ",2 bds,2 ba,768 sqft,"$635,000 ",Condo,2018,Forced air,Central,No Data,$200/month,,"$3,278 ","$2,397/mo",$454/mo,$227/mo,$200/mo
"608 Massachusetts Ave APT 1, Boston, MA 02118","$589,900 ",1 bd,1 ba,702 sqft,"$574,712 ",Condo,1890,Baseboard,None,On street,$175/month,Great solar potentialSun Number™: 93.58,"$2,973 ","$2,178/mo",$413/mo,$206/mo,$175/mo
"343 Commercial St # 304, Boston, MA 02109","$2,399,000 ",3 bds,3 ba,"1,783 sqft","$2,310,486 ",Condo,1830,Forced air,Central,1 space,"$1,206/month",Great solar potentialSun Number™: 91.18,"$13,083 ","$9,358/mo","$1,679/mo",$840/mo,"$1,206/mo"
"131 I St # 1, South Boston, MA 02127","Est. $420,075",1 bd,1 ba,962 sqft,"$567,669 ",Condo,1905,Other,No Data,No Data,No Data,Great solar potentialSun Number™: 94.86,"$1,992 ","$1,551/mo",$294/mo,$147/mo,$0/mo
"1030 Bennington St APT 16, East Boston, MA 02128","$350,000 ",1 bd,1 ba,585 sqft,"$350,001 ",Condo,1960,Baseboard,Wall,1 space,$345/month,Great solar potentialSun Number™: 85.8,"$2,010 ","$1,298/mo",$245/mo,$123/mo,$345/mo
"37 Morton St # A, Boston, MA 02130","$519,000 ",2 bds,2 ba,"1,439 sqft","$535,641 ",Condo,1989,Forced air,Central,No Data,$686/month,,"$3,155 ","$1,924/mo",$363/mo,$182/mo,$686/mo
"527 Bennington St # 1, Boston, MA 02128","$499,900 ",2 bds,1 ba,"1,980 sqft","$489,587 ",Condo,1900,Forced air,Central,No Data,$165/month,,"$2,543 ","$1,853/mo",$350/mo,$175/mo,$165/mo
"30 Pompeii St APT 3, Boston, MA 02119","$299,000 ",1 bd,1 ba,800 sqft,"$299,001 ",Condo,1910,Gas,No Data,No Data,$175/month,,"$1,598 ","$1,109/mo",$209/mo,$105/mo,$175/mo
"111 Gainsborough St UNIT 208, Boston, MA 02115","$840,000 ",2 bds,1 ba,"1,020 sqft","$833,416 ",Condo,1899,Heat pump,Central,On street,$495/month,Great solar potentialSun Number™: 87.18,"$4,479 ","$3,102/mo",$588/mo,$294/mo,$495/mo
"386 Riverway APT 6, Boston, MA 02115","$629,900 ",2 bds,1 ba,"1,125 sqft","$629,902 ",Condo,1920,Other,No Data,On street,$475/month,,"$3,462 ","$2,326/mo",$441/mo,$220/mo,$475/mo
"200-202 Beacon Street Units 1 & # 3, Boston, MA 02116","$9,995,000 ",3 bds,3 ba,"5,410 sqft","$9,411,965 ",Condo,No Data,Forced air,Central,4 spaces,"$3,356/month",,"$52,841 ","$38,990/mo","$6,997/mo","$3,498/mo","$3,356/mo"
"25 Saint Stephen St APT 1, Boston, MA 02115","$730,000 ",2 bds,1 ba,875 sqft,"$719,133 ",Condo,1905,Forced air,No Data,On street,$295/month,Great solar potentialSun Number™: 88.78,"$3,757 ","$2,696/mo",$511/mo,$256/mo,$295/mo
"36 Symphony Rd # 4, Boston, MA 02115","$1,179,000 ",4 bds,1.5 ba,"1,140 sqft","$1,148,070 ",Condo,1890,Baseboard,Wall,No Data,$427/month,,"$6,264 ","$4,599/mo",$825/mo,$413/mo,$427/mo
"901 E Broadway # 1, South Boston, MA 02127","$925,000 ",2 bds,2 ba,"1,410 sqft","$908,482 ",Condo,1850,Forced air,Central,No Data,$285/month,,"$4,865 ","$3,608/mo",$648/mo,$324/mo,$285/mo
"390 Commonwealth Ave APT 202, Boston, MA 02215","$899,000 ",2 bds,1 ba,893 sqft,"$877,808 ",Condo,1909,Forced air,Central,"Off street, On street, Attached Garage",$681/month,Great solar potentialSun Number™: 95.18,"$5,132 ","$3,507/mo",$629/mo,$315/mo,$681/mo
"195 Beacon St APT 1, Boston, MA 02116","$859,000 ",1 bd,1 ba,800 sqft,"$846,179 ",Condo,1905,Forced air,Central,None,$473/month,Great solar potentialSun Number™: 94.38,"$4,547 ","$3,172/mo",$601/mo,$301/mo,$473/mo
"7 Bay State Rd # 3C, Boston, MA 02215","$1,675,000 ",3 bds,2 ba,"1,500 sqft","$1,651,526 ",Condo,1895,Baseboard,Central,No Data,$74/month,,"$8,367 ","$6,534/mo","$1,173/mo",$586/mo,$74/mo
"40 Fay St UNIT 301, Boston, MA 02118","$725,000 ",1 bd,1 ba,772 sqft,"$714,208 ",Condo,2006,Forced air,Central,1 space,$540/month,Great solar potentialSun Number™: 94.38,"$3,978 ","$2,677/mo",$508/mo,$254/mo,$540/mo
"179 Massachusetts Ave # 3, Boston, MA 02115","$1,900,000 ",3 bds,2 ba,"1,726 sqft","$1,887,750 ",Condo,1910,Forced air,Central,1 space,No Data,,"$9,407 ","$7,412/mo","$1,330/mo",$665/mo,$0/mo
"20 Ripley Rd APT 2, Boston, MA 02121","$384,900 ",3 bds,1 ba,997 sqft,"$374,788 ",Condo,1900,Baseboard,Central,No Data,No Data,,"$1,831 ","$1,427/mo",$269/mo,$135/mo,$0/mo
"495 Ashmont St APT 1, Boston, MA 02122","$569,000 ",2 bds,1 ba,"1,207 sqft","$553,997 ",Condo,1900,Forced air,Other,No Data,$180/month,,"$2,879 ","$2,101/mo",$398/mo,$199/mo,$180/mo
"20 W 5th St # 3K, Boston, MA 02127","$895,000 ",2 bds,2 ba,"1,051 sqft","$881,677 ",Condo,No Data,Forced air,Central,No Data,$546/month,,"$4,977 ","$3,491/mo",$627/mo,$313/mo,$546/mo
"179 Massachusetts Ave # 2&3, Boston, MA 02115","$3,480,000 ",7 bds,4 ba,"3,421 sqft","$3,369,616 ",Condo,1910,Forced air,Central,No Data,No Data,,"$17,229 ","$13,575/mo","$2,436/mo","$1,218/mo",$0/mo
"1048 River St, Boston, MA 02136","$589,900 ",4 bds,2 ba,"3,028 sqft","$652,383 ",Multi Family,1900,Forced air,No Data,1 space,$195 ,Great solar potentialSun Number™: 95.02,"$2,798 ","$2,178/mo",$413/mo,$206/mo,$0/mo
"3 Avery St UNIT 401, Boston, MA 02111","$770,000 ",2 bds,2 ba,"1,509 sqft",,Condo,2004,Forced air,Central,No Data,"$2,283/month",Great solar potentialSun Number™: 94.38,"$5,935 ","$2,843/mo",$539/mo,$270/mo,"$2,283/mo"
"24 Elm St # 3 A, Boston, MA 02122","$599,000 ",2 bds,2 ba,"1,265 sqft","$585,966 ",Condo,2018,Forced air,Central,No Data,$195/month,,"$3,036 ","$2,212/mo",$419/mo,$210/mo,$195/mo
"234 Causeway St APT 908, Boston, MA 02114","$1,199,000 ",2 bds,2 ba,"1,374 sqft","$1,181,121 ",Condo,1899,Forced air,Central,1 space,"$1,040/month",Great solar potentialSun Number™: 94.61,"$6,976 ","$4,677/mo",$839/mo,$420/mo,"$1,040/mo"
